"X","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial.Date","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
82,"xAG","xAG12","M","B",5.78,"27/03/2022",1,115,"Flight","F","1","08/04/2022","D","14:28","52",12,6434.56,10976.76884,0.586198005,2.031258438,0,1,4,8,17,14399.63525
83,"xD","xD11","M","A",4.55,"28/02/2022",1,114,"Flight","B","1","19/03/2022","F","13:50","21",19,330.88,529.3854251,0.625026652,1.528502261,0,0,0,3,12,14399.97884
84,"xE","xE4","M","B",5.756666667,"28/02/2022",1,114,"Flight","B","1","16/03/2022","C","10:11","15",16,411.84,467.1505249,0.881600208,1.474271467,0,0,0,2,1,14399.99573
85,"xE","xE7","M","B",5.516666667,"28/02/2022",1,114,"Flight","B","1","16/03/2022","G","10:11","15",16,982.96,1252.187456,0.784994287,1.664497921,0,0,0,4,3,14399.99573
86,"xH","xH9","M","B",5.223333333,"28/02/2022",1,114,"Flight","B","1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"xJ","xJ7","F","B",5.52,"06/03/2022",1,112,"Flight","C","1","25/03/2022","D","14:44","32",19,1750.32,5158.641443,0.339298635,1.190743693,0,0,1,22,11,14399.99956
88,"xJ","xJ1","M","A",4.233333333,"06/03/2022",1,112,"Flight","C","1","25/03/2022","F","14:44","32",19,412.72,817.556035,0.504821666,0.9216561,0,0,1,0,1,14399.99956
89,"xO","xO9","M","B",5.016666667,"06/03/2022",1,112,"Flight","C","1","16/03/2022","B","10:11","15",10,3297.36,7192.872326,0.458420482,1.731459004,0,0,1,32,41,14399.99573
90,"xN","xN15","F","A",4.213333333,"06/03/2022",1,112,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"xE","xE8","M","A",4.246666667,"28/02/2022",1,111,"Flight","B","1","15/03/2022","G","14:00","14",15,28.16,72.54440904,0.38817602,0.958955605,0,0,0,1,0,14399.98205
92,"xD","xD15","M","A",4.55,"28/02/2022",1,111,"Waiting","B","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"xBD","xBD2","F","A",4.036666667,"02/06/2022",1,110,"Flight","G","1","21/06/2022","F","07:25","64",19,5614.4,12593.50066,0.445817263,1.613669202,0,0,6,22,14,14399.99128
94,"xBK","xBK11","M","A",5.383333333,"02/06/2022",1,110,"Flight","G","1","19/06/2022","D","14:45","62",17,5035.36,12358.60938,0.407437426,1.68369873,0,0,2,34,13,14399.99936
95,"xBI","xBI8","M","A",4.386666667,"02/06/2022",1,110,"Flight","G","1","12/06/2022","C","09:20","54",10,11839.52,13092.92934,0.904268227,1.584537812,1,0,1,4,8,14399.97932
96,"xAG","xAG4","F","A",4.303333333,"25/03/2022",1,110,"Flight","F","1","09/04/2022","F","12:50","53",15,1096.48,3822.707286,0.286833366,1.362098591,0,0,0,24,32,14399.99505
97,"xAK","xAK2","F","A",4.03,"25/03/2022",1,110,"Flight","F","1","05/04/2022","F","11:55","46b",11,4686,10586.7458,0.442628933,1.128930171,1,0,1,2,10,14399.99504
98,"xBH","xBH11","F","B",4.976666667,"03/06/2022",1,109,"Flight","G","1","22/06/2022","D","12:11","68",19,300.96,278.4128838,1.080984457,1.83855139,0,0,0,2,1,2584.229058
99,"xAG","xAG15","F","B",5.476666667,"27/03/2022",1,108,"Flight","F","1","09/04/2022","D","12:50","53",13,260.48,266.5208201,0.977334528,1.466202554,0,0,0,1,1,14399.99505
100,"xAH","xAH15","F","B",5.366666667,"27/03/2022",1,108,"Flight","F","1","07/04/2022","G","09:43","50",11,457.6,596.416661,0.767248855,1.846446526,0,0,0,2,0,14399.99207
101,"xP","xP14","M","A",3.99,"06/03/2022",1,108,"Flight","C","1","26/03/2022","B","13:36","34",20,9373.76,13123.24317,0.714286848,2.995396536,0,1,3,11,10,14399.98624
102,"xJ","xJ9","F","B",5.42,"06/03/2022",1,108,"Flight","C","1","25/03/2022","B","14:44","32",19,69.52,243.4096415,0.285609064,1.624356326,0,0,0,1,4,14399.99956
103,"xI","xI4","F","A",4.466666667,"06/03/2022",1,108,"Flight","C","1","25/03/2022","A","14:44","32",19,299.2,632.1805036,0.473282549,1.257862955,0,0,0,5,3,14399.99956
104,"xO","xO1","F","A",4.22,"06/03/2022",1,108,"Flight","C","1","22/03/2022","F","09:04","24",16,526.24,1073.697395,0.490119472,1.379273725,0,0,0,4,13,14399.99524
105,"xJ","xJ5","M","A",4.056666667,"06/03/2022",1,108,"Flight","C","1","19/03/2022","A","09:17","20",13,679.36,1194.607606,0.568688828,1.218318583,0,0,0,5,2,14399.98326
106,"xBF","xBF5","F","A",4.153333333,"02/06/2022",1,107,"Flight","G","1","18/06/2022","F","10:13","61",16,708.4,1663.085989,0.425955125,1.137529866,0,0,0,6,31,14130.90753
107,"xBB","xBB3","M","A",3.983333333,"02/06/2022",1,107,"Flight","G","1","12/06/2022","E","13:57","55",10,11493.68,12812.07413,0.897097526,1.710481202,1,0,1,4,14,14399.99663
108,"xAX","xAX7","M","A",4.376666667,"02/06/2022",1,107,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"xAD","xAD2","F","A",3.906666667,"15/03/2022",1,106,"Flight","E","1","31/03/2022","E","11:30","40",16,687.28,1354.854286,0.507272263,1.428877404,0,0,0,5,19,14399.96623
110,"xE","xE2","M","B",5.823333333,"28/02/2022",1,106,"Flight","B","1","20/03/2022","C","08:38","22",20,19.36,51.63028097,0.374973749,0.883106017,0,0,0,0,1,14399.97864
111,"xF","xF3","F","A",4.043333333,"28/02/2022",1,106,"Flight","B","1","17/03/2022","F","09:11","16",17,286.88,740.9569471,0.387174992,0.881996861,0,0,0,4,1,14394.37635
112,"xM","xM9","M","B",5.54,"06/03/2022",1,105,"Flight","C","1","26/03/2022","E","13:36","34",20,10024.08,12745.46711,0.786481964,1.570606922,0,1,2,10,0,14399.98624
113,"xM","xM12","M","B",5.4,"06/03/2022",1,105,"Flight","C","1","26/03/2022","D","13:36","34",20,0,0,NA,NA,0,0,0,0,0,14399.98624
114,"xN","xN13","F","A",4.403333333,"06/03/2022",1,105,"Flight","C","1","24/03/2022","F","14:16","30",18,4838.24,10756.52755,0.449795715,1.416713406,0,0,7,12,13,14399.99717
115,"xM","xM4","M","A",3.93,"06/03/2022",1,105,"Flight","C","1","24/03/2022","D","09:15","29",18,0,0,NA,NA,0,0,0,0,0,14398.99197
116,"xP","xP10","M","A",3.846666667,"06/03/2022",1,105,"Flight","C","1","23/03/2022","F","13:25","28",17,3321.12,8098.184934,0.410106712,1.55093675,0,0,4,11,49,14399.99537
117,"xL","xL3","M","B",5.27,"06/03/2022",1,105,"Flight","C","1","22/03/2022","C","13:25","26",16,6043.84,9869.701679,0.612362987,1.433481726,0,0,6,4,10,14399.99677
118,"xT","xT3","M","B",5.406666667,"09/03/2022",1,105,"Flight","D","1","22/03/2022","A","09:04","24",13,0,0,NA,NA,0,0,0,0,0,14399.99524
119,"xJ","xJ11","F","B",5.64,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"xJ","xJ8","M","B",5.606666667,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"xK","xK13","M","B",5.606666667,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"xO","xO10","M","B",5.563333333,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"xK","xK18","F","B",5.503333333,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"xK","xK10","F","B",5.363333333,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"xK","xK11","M","B",5.346666667,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"xK","xK19","M","B",5.26,"06/03/2022",1,105,"Flight","C","1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"xM","xM7","M","B",5.153333333,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"xJ","xJ12","M","B",5.116666667,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"xN","xN16","M","A",4.626666667,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"xK","xK7","M","A",4.28,"06/03/2022",1,105,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"xBF","xBF2","M","A",4.33,"02/06/2022",1,103,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"xAH","xAH7","M","A",3.956666667,"25/03/2022",1,103,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"xT","xT11","M","A",3.8,"09/03/2022",1,102,"Flight","D","1","29/03/2022","G","14:15","37",20,13104.08,14233.8195,0.920629912,1.514828634,0,1,6,0,3,14399.98732
134,"xT","xT9","M","A",4.046666667,"09/03/2022",1,102,"Flight","D","1","23/03/2022","D","08:47","27",14,299.2,878.6653805,0.340516432,0.733450612,0,0,0,4,7,14399.58746
135,"xT","xT4","F","B",5.043333333,"09/03/2022",1,102,"Flight","D","1","22/03/2022","B","09:04","24",13,11794.64,12531.71548,0.941183194,2.827892198,0,0,6,20,5,14399.99524
136,"xQ","xQ5","M","B",4.993333333,"09/03/2022",1,102,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"xAW","xAW2","F","B",5.546666667,"02/06/2022",1,100,"Flight","G","1","12/06/2022","D","09:20","54",10,8515.76,14397.43746,0.591477478,2.228575935,1,0,0,0,0,14399.97932
138,"xH","xH5","M","B",5.083333333,"28/02/2022",1,100,"Flight","B","1","12/03/2022","A","08:38","10",12,0,0,NA,NA,0,0,0,0,0,14399.93318
139,"xAH","xAH8","F","A",4.03,"25/03/2022",1,100,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"xBG","xBG12","M","B",5.6,"03/06/2022",1,99,"Flight","G","1","20/06/2022","F","10:00","63",17,192.72,1054.98919,0.182674858,1.184921786,0,0,0,3,30,14399.2411
141,"xAD","xAD12","F","B",5.76,"15/03/2022",1,99,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"xAD","xAD6","F","A",4.963333333,"15/03/2022",1,99,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"xAJ","xAJ13","M","B",5.406666667,"27/03/2022",1,98,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"xP","xP2","M","B",4.723333333,"06/03/2022",1,97,"Flight","C","1","26/03/2022","A","09:02","33",20,3538.48,8321.371248,0.425227994,1.614216842,0,0,2,30,56,14399.99041
145,"xN","xN8","F","B",5.483333333,"06/03/2022",1,97,"Flight","C","1","24/03/2022","B","14:16","30",18,4858.48,6421.318203,0.756617231,2.945388843,0,0,3,14,36,14399.99717
146,"xO","xO7","F","B",5.126666667,"06/03/2022",1,97,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
