Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xM,5,F,A,0.1184,4.09,06/03/2022,29/06/2022,03/07/2022,1,,119,19/03/2022,B,09:17,20,,12/05/2022,B,09:29,125,,08/06/2022,F,10:09,208,,Flight,C
xI,7,M,A,0.0833,4.123333333,06/03/2022,29/06/2022,03/07/2022,1,,119,17/03/2022,C,14:48,17,,13/05/2022,A,09:54,126,,04/06/2022,C,14:54,206,,Flight,C
xQ,12,M,A,,4.086666667,09/03/2022,03/07/2022,06/07/2022,1,,119,,,,,,,,,,,,,,,,Waiting,D
D1AD,7,F,B,0.2037,5.296666667,21/02/2022,11/06/2022,19/06/2022,1,,118,13/03/2022,A,09:48,12,,24/04/2022,A,11:20,103,,,,,,,Flight,A
xH,10,F,B,0.1521,4.763333333,28/02/2022,22/06/2022,26/06/2022,1,,118,12/03/2022,D,08:38,10,,30/04/2022,G,10:30,108,,03/06/2022,F,13:01,204,,Flight,B
D1AA,4,M,B,0.1174,4.663333333,21/02/2022,11/06/2022,19/06/2022,1,,118,05/03/2022,C,16:40,2,,24/04/2022,F,11:20,103,,,,,,,Flight,A
xAX,4,M,A,,4.003333333,02/06/2022,23/09/2022,27/09/2022,1,,117,15/06/2022,G,15:35,58,,10/08/2022,B,13:38,156,,31/08/2022,C,13:41,220,,Flight,G
xV,7,F,A,,4.79,15/03/2022,06/07/2022,09/07/2022,1,,116,27/03/2022,D,08:44,35,,20/05/2022,C,12:53,132,,16/06/2022,B,10:30,213,,Flight,E
xAG,12,M,B,,5.78,27/03/2022,17/07/2022,20/07/2022,1,,115,08/04/2022,D,14:28,52,,26/05/2022,D,09:43,135,,28/06/2022,E,09:48,216,,Flight,F
xD,11,M,A,0.0978,4.55,28/02/2022,19/06/2022,22/06/2022,1,,114,19/03/2022,F,13:50,21,,01/05/2022,G,10:09,110,,01/06/2022,C,,201,,Flight,B
xA,15,M,A,0.1302,4.74,28/02/2022,19/06/2022,22/06/2022,1,,114,19/03/2022,D,09:17,20,,03/05/2022,G,15:22,113,,07/06/2022,A,15:10,207,,Flight,B
xE,4,M,B,0.2525,5.756666667,28/02/2022,19/06/2022,22/06/2022,1,,114,16/03/2022,C,10:11,15,,03/05/2022,F,,112,,03/06/2022,E,08:42,203,,Flight,B
