Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
D1AE,11,F,B,0.2229,5.583333333,21/02/2022,23/03/2022,27/03/2022,1,MALFORMED,34,,,,,,,,,,,,,,,,Waiting,A
D1AF,2,M,B,0.225,5.583333333,21/02/2022,23/03/2022,27/03/2022,1,MALFORMED,34,,,,,,,,,,,,,,,,Waiting,A
xAB,12,F,B,,5.583333333,17/03/2022,17/04/2022,20/04/2022,0,,34,,,,,,,,,,,,,,,,Waiting,E
xV,2,M,A,,5.01,15/03/2022,13/04/2022,17/04/2022,0,,33,,,,,,,,,,,,,,,,Waiting,E
xBD,4,M,A,,4.11,02/06/2022,29/06/2022,03/07/2022,1,,31,15/06/2022,G,09:53,57,,,,,,,,,,,,Flight,G
xI,11,M,B,0.1429,4.94,06/03/2022,03/04/2022,06/04/2022,0,,31,17/03/2022,B,09:11,16,,,,,,,,,,,,Flight,C
D1AF,7,F,B,0.2164,#DIV/0!,21/02/2022,19/03/2022,23/03/2022,0,,30,12/03/2022,A,13:15,11,SHORT,,,,,,,,,,,Flight,A
xP,11,F,A,0.0782,3.543333333,06/03/2022,30/03/2022,03/04/2022,0,,28,20/03/2022,C,12:56,23,,,,,,,,,,,,Flight,C
xC,7,M,B,0.172,5.12,28/02/2022,23/03/2022,27/03/2022,1,MALFORMED,27,,,,,,,,,,,,,,,,Waiting,B
xAZ,2,F,B,,5.333333333,03/06/2022,26/06/2022,29/06/2022,1,,26,18/06/2022,G,10:13,61,,,,,,,,,,,,Flight,G
xAB,9,M,B,,5.486666667,17/03/2022,06/03/2022,10/04/2022,0,,24,,,,,,,,,,,,,,,,Waiting,E
xBB,1,M,A,,4.316666667,02/06/2022,21/06/2022,26/06/2022,1,,24,,,,,,,,,,,,,,,,Waiting,G
xJ,6,M,B,0.2705,5.423333333,06/03/2022,23/03/2022,27/03/2022,0,,21,22/03/2022,D,09:04,24,,,,,,,,,,,,Flight,C
xAB,11,M,B,,#DIV/0!,17/03/2022,03/04/2022,07/04/2022,0,,21,,,,,,,,,,,,,,,,Waiting,E
xT,13,M,A,,4.776666667,09/03/2022,26/03/2022,29/03/2022,0,,20,29/03/2022,F,14:15,37,LOST,,,,,,,,,,,Flight,D
D1AE,12,F,B,0.2631,5.513333333,21/02/2022,09/03/2022,13/03/2022,1,,20,07/03/2022,C,12:53,4,,,,,,,,,,,,Flight,A
xAJ,11,M,B,,5.556666667,27/03/2022,10/04/2022,13/04/2022,0,,17,05/04/2022,G,14:25,48,,,,,,,,,,,,Flight,F
xI,9,M,B,0.2179,5.57,06/03/2022,23/03/2022,23/03/2022,0,,17,23/03/2022,G,08:47,27,,,,,,,,,,,,Flight,C
xE,12,F,A,0.1119,#DIV/0!,28/02/2022,13/03/2022,16/03/2022,0,,16,,,,,,,,,,,,,,,,Waiting,B
D1AE,17,F,B,0.2744,5.7,21/02/2022,06/03/2022,09/03/2022,1,,16,,,,,,,,,,,,,,,,Waiting,A
xJ,13,M,B,0.2235,#DIV/0!,06/03/2022,16/03/2022,19/03/2022,0,,13,18/03/2022,B,09:12,18,,,,,,,,,,,,Flight,C
xK,8,M,A,0.1235,#DIV/0!,06/03/2022,16/03/2022,19/03/2022,0,,13,,,,,,,,,,,,,,,,Waiting,C
xBB,2,F,A,,#DIV/0!,02/06/2022,14/06/2022,15/06/2022,0,,13,,,,,,,,,,,,,,,,Flight,G
xH,1,M,A,0.0808,4.103333333,28/02/2022,09/03/2022,13/03/2022,1,,13,,,,,,,,,,,,,,,,Waiting,B
D1AF,3,F,B,0.2122,#DIV/0!,21/02/2022,02/03/2022,05/03/2022,0,,12,10/03/2022,D,09:25,6B,,,,,,,,,,,,Flight,A
xBI,3,M,A,,4.133333333,02/06/2022,11/06/2022,14/06/2022,1,,12,,,,,,,,,,,,,,,,Waiting,G
xAX,2,M,A,,3.796666667,02/06/2022,11/06/2022,14/06/2022,1,,12,,,,,,,,,,,,,,,,Waiting,G
xBC,11,M,B,,4.19,03/06/2022,11/06/2022,14/06/2022,1,,11,,,,,,,,,,,,,,,,Flight,G
xBK,1,,B,,3.803333333,03/06/2022,11/06/2022,14/06/2022,1,,11,,,,,,,,,,,,,,,,Flight,G
xL,5,M,B,0.1569,#DIV/0!,06/03/2022,13/03/2022,16/03/2022,0,,10,,,,,,,,,,,,,,,,Waiting,C
xK,6,F,A,0.1263,4.263333333,06/03/2022,13/03/2022,16/03/2022,1,,10,,,,,,,,,,,,,,,,Waiting,C
xAJ,8,F,B,,5.32,27/03/2022,03/04/2022,05/04/2022,0,,9,05/04/2022,C,11:55,46b,LOST,,,,,,,,,,,Flight,F
xD,16,F,A,0.0536,#DIV/0!,28/02/2022,06/03/2022,09/03/2022,0,,9,,,,,,,,,,,,,,,,Waiting,B
xA,14,M,A,0.1561,4.993333333,28/02/2022,06/03/2022,09/03/2022,1,,9,,,,,,,,,,,,,,,,Waiting,B
D1AC,1,M,A,0.0774,#DIV/0!,18/02/2022,23/02/2022,26/02/2022,1,,8,,,,,,,,,,,,,,,,Waiting,A
xAY,3,M,A,,4.006666667,03/06/2022,08/06/2022,11/06/2022,1,,8,,,,,,,,,,,,,,,,Flight,G
xI,2,F,A,0.0699,4.193333333,06/03/2022,09/03/2022,13/03/2022,1,,7,,,,,,,,,,,,,,,,Waiting,C
D1AB,1,M,A,0.0535,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AB,2,F,A,0.0465,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,MALFORMED,5,,,,,,,,,,,,,,,,Waiting,A
D1AC,3,M,A,0.0666,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AC,4,M,A,0.1064,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AD,1,M,A,0.066,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AE,1,M,A,0.0654,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AE,2,F,A,0.0748,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AE,3,F,A,0.0515,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
D1AE,4,M,A,0.0726,#DIV/0!,18/02/2022,18/02/2022,23/02/2022,1,,5,,,,,,,,,,,,,,,,Waiting,A
xAC,8,M,B,,5.386666667,15/03/2022,16/03/2022,19/03/2022,1,MALFORMED,4,,,,,,,,,,,,,,,,Waiting,E
xR,6,M,B,,5.013333333,09/03/2022,09/03/2022,13/03/2022,1,MALFORMED,4,,,,,,,,,,,,,,,,Waiting,D
xAC,9,M,B,,3.65,15/03/2022,16/03/2022,19/03/2022,1,MALFORMED,4,,,,,,,,,,,,,,,,Waiting,E
xX,5,F,A,,#DIV/0!,15/03/2022,,,0,,,,,,,,,,,,,,,,,,Waiting,E
