"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xN","xN10","F","B","Waiting",5.456666667,1,80,"B","Waiting","C","enhanced"
"xN","xN6","F","B","Waiting",5.283333333,1,80,"B","Waiting","C","enhanced"
"xQ","xQ14","F","A","Waiting",3.7,1,80,"A","Waiting","D","impoverished"
"xBH","xBH4","M","A","Flight",3.813333333,1,79,"A","Flight","G","impoverished"
"xAI","xAI17","M","B","Flight",5.283333333,1,79,"B","Flight","F","enhanced"
"xAF","xAF7","M","B","Flight",5.66,1,79,"B","Flight","E","enhanced"
"xBF","xBF13","F","B","Flight",5.086666667,1,78,"B","Flight","G","enhanced"
"xBK","xBK4","F","B","Flight",3.85,1,78,"B","Flight","G","enhanced"
"xAG","xAG3","M","A","Flight",4.166666667,1,78,"A","Flight","F","impoverished"
"xAK","xAK8","F","A","Flight",4.146666667,1,78,"A","Flight","F","impoverished"
"xAJ","xAJ6","F","A","Flight",4.146666667,1,78,"A","Flight","F","impoverished"
"xAJ","xAJ4","M","A","Flight",3.733333333,1,78,"A","Flight","F","impoverished"
"xAH","xAH1","M","A","Flight",3.796666667,1,78,"A","Flight","F","impoverished"
"xAK","xAK1","M","A","Flight",3.72,1,78,"A","Flight","F","impoverished"
"xZ","xZ1","F","B","Flight",5.053333333,1,78,"B","Flight","E","enhanced"
"xBE","xBE13","M","A","Waiting",4.106666667,1,78,"A","Waiting","G","impoverished"
"xAK","xAK7","M","A","Waiting",4.003333333,1,78,"A","Waiting","F","impoverished"
"xAI","xAI6","M","A","Waiting",3.993333333,1,78,"A","Waiting","F","impoverished"
"xT","xT5","M","B","Flight",5.25,1,77,"B","Flight","D","enhanced"
"xT","xT2","F","B","Flight",5.296666667,1,77,"B","Flight","D","enhanced"
"xS","xS5","M","A","Waiting",3.726666667,1,77,"A","Waiting","D","impoverished"
"xAK","xAK13","M","B","Flight",5.243333333,1,76,"B","Flight","F","enhanced"
"xN","xN12","M","A","Flight",4.423333333,1,76,"A","Flight","C","impoverished"
"xP","xP3","F","B","Flight",4.006666667,1,76,"B","Flight","C","enhanced"
"xAX","xAX3","F","A","Flight",4.33,1,75,"A","Flight","G","impoverished"
"xBI","xBI6","F","A","Flight",4.56,1,75,"A","Flight","G","impoverished"
"xAI","xAI4","M","A","Flight",4.186666667,1,75,"A","Flight","F","impoverished"
"xF","xF1","M","A","Flight",4.093333333,1,75,"A","Flight","B","impoverished"
"xF","xF2","F","A","Flight",3.79,1,75,"A","Flight","B","impoverished"
"xH","xH6","F","B","Flight",5.043333333,1,75,"B","Flight","B","enhanced"
"xBI","xBI5","M","A","Waiting",4.496666667,1,75,"A","Waiting","G","impoverished"
"xBG","xBG4","F","A","Waiting",3.99,1,75,"A","Waiting","G","impoverished"
"xBG","xBG11","F","B","Flight",5.293333333,1,74,"B","Flight","G","enhanced"
"xBJ","xBJ4","M","A","Flight",4.726666667,1,74,"A","Flight","G","impoverished"
"xAF","xAF4","M","A","Flight",4.826666667,1,74,"A","Flight","E","impoverished"
"xBH","xBH14","M","B","Waiting",5.47,1,74,"B","Waiting","G","enhanced"
